Hotel_name,Date,Price,Client,Rating,Grade,Address,Day
담모라 리조트,2023-07-25,92504,3,7.3,4,"서귀포, 대한민국",화
신신호텔 제주월드컵,2023-07-25,41400,3,7.7,4,"서귀포, 대한민국",화
퍼스트70 호텔,2023-07-25,46555,3,8.1,3,"서귀포, 대한민국",화
롯데 호텔 제주,2023-07-25,570000,4,8.8,5,"서귀포, 대한민국",화
라마다 제주 시티 호텔,2023-07-25,165290,4,8.1,4,"제주, 대한민국",화
파르나스 호텔 제주,2023-07-25,960000,4,9.2,5,"서귀포, 대한민국",화
베스트웨스턴 제주호텔,2023-07-25,103306,4,7.6,4,"제주, 대한민국",화
메종 글래드 제주,2023-07-25,305464,4,8.1,5,"제주, 대한민국",화
에코랜드 호텔,2023-07-25,450083,4,8.6,5,"제주, 대한민국",화
라마다 프라자 제주 호텔,2023-07-25,206545,4,8.2,5,"제주, 대한민국",화
신라스테이 제주,2023-07-25,183000,4,8.0,4,"제주, 대한민국",화
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,2023-07-25,98141,4,7.7,4,"제주, 대한민국",화
휘닉스 제주 섭지코지,2023-07-25,330580,4,7.8,4,"서귀포, 대한민국",화
탐라스테이 호텔 제주,2023-07-25,184380,4,7.7,4,"제주, 대한민국",화
더 베스트 제주 성산,2023-07-25,76860,4,7.9,4,"서귀포, 대한민국",화
더큐브 리조트 제주,2023-07-25,93815,4,8.2,4,"서귀포, 대한민국",화
코델리아 S 호텔,2023-07-25,37191,4,7.6,3,"서귀포, 대한민국",화
서머셋 제주신화월드,2023-07-25,605045,4,8.6,5,"서귀포, 대한민국",화
유탑 유블레스호텔,2023-07-25,495868,4,8.0,4,"제주, 대한민국",화
캠퍼트리 호텔 앤 리조트,2023-07-25,319091,4,8.4,4,"제주, 대한민국",화
한림리조트,2023-07-25,214545,4,8.8,4,"제주, 대한민국",화
그라벨 호텔,2023-07-25,141966,4,8.1,4,"제주, 대한민국",화
호텔 난타,2023-07-25,218182,4,8.6,4,"제주, 대한민국",화
서귀포 JS호텔,2023-07-25,68343,4,8.4,4,"서귀포, 대한민국",화
제주 디 아일랜드 블루 호텔,2023-07-25,93500,4,8.1,4,"서귀포, 대한민국",화
WE호텔 제주,2023-07-25,436364,4,8.5,5,"서귀포, 대한민국",화
라온 호텔 앤 리조트,2023-07-25,160834,4,6.8,4,"제주, 대한민국",화
엠스테이 호텔 제주,2023-07-25,55124,4,7.8,4,"서귀포, 대한민국",화
호텔 샬롬 제주,2023-07-25,57852,4,7.9,5,"제주, 대한민국",화
호텔 토스카나,2023-07-25,2427273,4,9.0,4,"서귀포, 대한민국",화
오션스위츠 제주 호텔,2023-07-25,128099,4,8.1,4,"제주, 대한민국",화
글로스터 호텔 제주,2023-07-25,81819,4,8.3,5,"제주, 대한민국",화
스위트 호텔 제주,2023-07-25,243347,4,8.3,3,"서귀포, 대한민국",화
켄싱턴리조트 서귀포,2023-07-25,214050,4,8.1,4,"서귀포, 대한민국",화
유니호텔 제주,2023-07-25,161405,4,7.7,4,"제주, 대한민국",화
금호 제주 리조트,2023-07-25,141217,4,7.4,4,"서귀포, 대한민국",화
신신호텔 제주공항,2023-07-25,107721,4,7.6,4,"제주, 대한민국",화
제주 센트럴시티호텔,2023-07-25,77012,4,7.7,4,"제주, 대한민국",화
플레이스 캠프 제주,2023-07-25,202008,4,8.3,3,"서귀포, 대한민국",화
담모라 리조트,2023-07-25,99000,4,7.3,4,"서귀포, 대한민국",화
퍼스트70 호텔,2023-07-25,54821,4,8.1,4,"서귀포, 대한민국",화
호텔 케니 모슬포,2023-07-25,73273,4,8.4,3,"서귀포, 대한민국",화
포도 호텔,2023-07-25,961157,4,8.8,4,"서귀포, 대한민국",화
신신호텔 서귀포,2023-07-25,80810,4,8.0,4,"서귀포, 대한민국",화
호텔 위드 제주,2023-07-25,83741,4,8.0,4,"제주, 대한민국",화
소노캄 제주,2023-07-25,200827,4,7.5,2,"서귀포, 대한민국",화
애월 스테이 인 제주,2023-07-25,120719,4,8.6,5,"제주, 대한민국",화
벨룸 리조트,2023-07-25,442294,4,8.8,3,"서귀포, 대한민국",화
호텔더그랑 서귀포,2023-07-25,107355,4,10.0,3,"서귀포, 대한민국",화
흰수염 고래 리조트,2023-07-25,235295,4,8.5,4,"제주, 대한민국",화
코업시티호텔 성산,2023-07-25,148545,4,7.9,3,"서귀포, 대한민국",화
헤이 서귀포,2023-07-25,99863,4,7.9,4,"서귀포, 대한민국",화
아스타 호텔,2023-07-25,110646,4,8.4,3,"제주, 대한민국",화
샐리스 제주 호텔,2023-07-25,117208,4,7.2,4,"제주, 대한민국",화
롯데 리조트 아트 빌라스,2023-07-25,715909,4,8.1,4,"서귀포, 대한민국",화
소노벨 제주,2023-07-25,245455,4,7.9,5,"제주, 대한민국",화
호텔 화인 제주,2023-07-25,203719,4,9.2,3,"서귀포, 대한민국",화
롯데 호텔 제주,2023-07-26,500000,1,8.8,5,"서귀포, 대한민국",수
라마다 제주 시티 호텔,2023-07-26,76186,1,8.1,4,"제주, 대한민국",수
파르나스 호텔 제주,2023-07-26,620000,1,9.2,5,"서귀포, 대한민국",수
베스트웨스턴 제주호텔,2023-07-26,65689,1,7.6,4,"제주, 대한민국",수
랜딩관 제주신화월드 호텔앤리조트,2023-07-26,194727,1,8.3,5,"서귀포, 대한민국",수
메종 글래드 제주,2023-07-26,114436,1,8.1,5,"제주, 대한민국",수
에코랜드 호텔,2023-07-26,344213,1,8.6,5,"제주, 대한민국",수
제주 신라 호텔,2023-07-26,496548,1,9.0,5,"서귀포, 대한민국",수
라마다 프라자 제주 호텔,2023-07-26,181818,1,8.2,5,"제주, 대한민국",수
그랜드 하얏트 제주,2023-07-26,427998,1,8.8,5,"제주, 대한민국",수
신라스테이 제주,2023-07-26,113850,1,8.0,4,"제주, 대한민국",수
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,2023-07-26,88055,1,7.7,4,"제주, 대한민국",수
호텔 브릿지 서귀포,2023-07-26,83471,1,8.0,4,"서귀포, 대한민국",수
제주 부영 호텔&리조트,2023-07-26,180992,1,9.1,5,"서귀포, 대한민국",수
휘닉스 제주 섭지코지,2023-07-26,330580,1,7.8,4,"서귀포, 대한민국",수
탐라스테이 호텔 제주,2023-07-26,92752,1,7.7,4,"제주, 대한민국",수
더 베스트 제주 성산,2023-07-26,48348,1,7.9,4,"서귀포, 대한민국",수
호텔 리젠트 마린 더 블루,2023-07-26,113843,1,8.2,4,"제주, 대한민국",수
그랜드 조선 제주,2023-07-26,425000,1,8.9,5,"서귀포, 대한민국",수
롯데시티호텔 제주,2023-07-26,163637,1,8.5,4,"제주, 대한민국",수
더 그랜드 섬오름,2023-07-26,170000,1,8.3,3,"서귀포, 대한민국",수
더큐브 리조트 제주,2023-07-26,78383,1,8.2,4,"서귀포, 대한민국",수
코델리아 S 호텔,2023-07-26,33058,1,7.6,3,"서귀포, 대한민국",수
