Hotel_name,Date,Price,Client,Rating,Grade,Address
호텔 비,07.25.Tue,27908,1,7.0,3,"제주, 대한민국"
호텔 더 원,07.25.Tue,47968,1,7.4,3,"제주, 대한민국"
에코그린 리조트,07.25.Tue,193889,1,7.9,3,"제주, 대한민국"
제주 마레보 리조트,07.25.Tue,135975,1,7.6,4,"제주, 대한민국"
켄싱턴리조트 제주중문,07.25.Tue,362727,1,9.2,3,"서귀포, 대한민국"
제주 팔레스 호텔,07.25.Tue,43315,1,7.7,등급 정보 없음,"제주, 대한민국"
아름다운 리조트,07.25.Tue,36322,1,7.5,등급 정보 없음,"서귀포, 대한민국"
오션 팰리스 호텔,07.25.Tue,43568,1,7.4,등급 정보 없음,"서귀포, 대한민국"
어반아일랜드 호텔,07.25.Tue,55508,1,7.4,등급 정보 없음,"제주, 대한민국"
호텔하루시다,07.25.Tue,239670,1,9.5,등급 정보 없음,"서귀포, 대한민국"
오크라 리조트,07.25.Tue,94607,1,10.0,3,"서귀포, 대한민국"
그랜드메르 호텔 제주,07.25.Tue,42410,1,7.2,3,"서귀포, 대한민국"
금능 이큐 스테이,07.25.Tue,56364,1,8.0,4,"제주, 대한민국"
팜밸리 리조트,07.25.Tue,114463,1,8.4,4,"서귀포, 대한민국"
라마다 바이 윈덤 제주 더 함덕,07.25.Tue,60833,1,7.8,4,"제주, 대한민국"
이스턴호텔제주,07.25.Tue,26761,1,7.8,4,"서귀포, 대한민국"
다인 오세아노 호텔,07.25.Tue,120557,1,8.1,4,"제주, 대한민국"
호텔 레오,07.25.Tue,74351,1,8.9,3,"제주, 대한민국"
나비스호텔,07.25.Tue,31842,1,7.3,3,"제주, 대한민국"
클럽이에스 제주리조트,07.25.Tue,196363,1,8.4,3,"서귀포, 대한민국"
봄 그리고 가을 리조트,07.25.Tue,107272,1,8.0,3,"서귀포, 대한민국"
해든빌레 펜션,07.25.Tue,76773,1,8.3,3,"서귀포, 대한민국"
씨앤 호텔,07.25.Tue,35639,1,6.8,3,"제주, 대한민국"
스타하우스,07.25.Tue,27272,1,6.7,3,"제주, 대한민국"
MJ리조트,07.25.Tue,185002,1,9.5,3,"제주, 대한민국"
아길라 호텔,07.25.Tue,159090,1,7.9,2,"제주, 대한민국"
올레 리조트,07.25.Tue,156372,1,8.8,3,"제주, 대한민국"
호텔 삼해인,07.25.Tue,28264,1,8.1,등급 정보 없음,"제주, 대한민국"
제이앤비 호텔,07.25.Tue,51719,1,8.9,등급 정보 없음,"서귀포, 대한민국"
루시드 엠,07.25.Tue,88860,1,8.4,등급 정보 없음,"서귀포, 대한민국"
씨사이드아덴,07.25.Tue,312216,1,8.0,4,"서귀포, 대한민국"
아띠랑스 호텔 & 풀빌라,07.25.Tue,82195,1,8.1,3,"서귀포, 대한민국"
리벤시아 호텔&풀빌라,07.25.Tue,150218,1,8.8,3,"제주, 대한민국"
제주 헬스케어 타운,07.25.Tue,105521,1,7.6,3,"서귀포, 대한민국"
오션스퀘어 리조트,07.25.Tue,57755,1,8.2,3,"서귀포, 대한민국"
엘렌호텔,07.25.Tue,68182,1,9.2,3,"서귀포, 대한민국"
타마라 제주,07.25.Tue,27392,1,8.0,3,"서귀포, 대한민국"
제주 로얄 호텔,07.25.Tue,24444,1,4.8,3,"제주, 대한민국"
이화 호텔,07.25.Tue,46717,1,7.6,3,"제주, 대한민국"
BK호텔 제주,07.25.Tue,41335,1,8.5,3,"서귀포, 대한민국"
엠버 시티 호텔,07.25.Tue,73114,1,8.4,1,"제주, 대한민국"
호텔 서귀피안,07.25.Tue,71687,1,8.5,2,"서귀포, 대한민국"
제주 노블피아 호텔,07.25.Tue,67390,1,8.6,3,"서귀포, 대한민국"
씨스테이 호텔&스파,07.25.Tue,82594,1,7.9,4,"제주, 대한민국"
대동 호텔,07.25.Tue,40000,1,8.5,3,"제주, 대한민국"
블루스프링부띠끄호텔,07.25.Tue,91982,1,7.1,등급 정보 없음,"제주, 대한민국"
제이 뷰 호텔,07.25.Tue,51709,1,8.2,등급 정보 없음,"서귀포, 대한민국"
해수 스파 호텔 코자,07.25.Tue,45146,1,8.3,등급 정보 없음,"서귀포, 대한민국"
엠버 호텔 제주,07.25.Tue,74076,1,8.5,등급 정보 없음,"제주, 대한민국"
더 포 그레이스 리조트,07.25.Tue,80438,1,7.9,등급 정보 없음,"서귀포, 대한민국"
롯데 호텔 제주,07.25.Tue,500000,2,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.25.Tue,76186,2,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.25.Tue,620000,2,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.25.Tue,60911,2,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.25.Tue,209664,2,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.25.Tue,114436,2,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.25.Tue,344213,2,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.25.Tue,496548,2,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.25.Tue,181818,2,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.25.Tue,427998,2,8.8,5,"제주, 대한민국"
신라스테이 제주,07.25.Tue,113850,2,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.25.Tue,88055,2,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.25.Tue,45592,2,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,07.25.Tue,185951,2,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.25.Tue,345454,2,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.25.Tue,92752,2,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.25.Tue,48348,2,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.25.Tue,113843,2,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.25.Tue,433500,2,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.25.Tue,176786,2,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,07.25.Tue,170000,2,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,07.25.Tue,78383,2,8.2,4,"서귀포, 대한민국"
코델리아 S 호텔,07.25.Tue,33058,2,7.6,3,"서귀포, 대한민국"
서머셋 제주신화월드,07.25.Tue,605045,2,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,07.25.Tue,260000,2,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,07.25.Tue,450000,2,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,07.25.Tue,388182,2,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,07.25.Tue,344355,2,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,07.25.Tue,150545,2,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,07.25.Tue,140579,2,8.4,4,"제주, 대한민국"
한림리조트,07.25.Tue,186255,2,8.8,4,"제주, 대한민국"
그라벨 호텔,07.25.Tue,99974,2,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,07.25.Tue,33408,2,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,07.25.Tue,50902,2,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,07.25.Tue,267300,2,8.4,4,"서귀포, 대한민국"
호텔 난타,07.25.Tue,68470,2,8.6,4,"제주, 대한민국"
서귀포 JS호텔,07.25.Tue,53327,2,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,07.25.Tue,35784,2,8.0,4,"제주, 대한민국"
세인트 비치 호텔,07.25.Tue,100800,2,7.4,등급 정보 없음,"제주, 대한민국"
골든튤립 제주성산호텔,07.25.Tue,60465,2,7.7,등급 정보 없음,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,07.25.Tue,59500,2,8.1,4,"서귀포, 대한민국"
WE호텔 제주,07.25.Tue,240640,2,8.5,5,"서귀포, 대한민국"
훈데르트힐즈,07.25.Tue,189020,2,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,07.25.Tue,67382,2,6.8,4,"제주, 대한민국"
엠스테이 호텔 제주,07.25.Tue,45069,2,7.8,4,"서귀포, 대한민국"
호텔 샬롬 제주,07.25.Tue,44666,2,7.9,5,"제주, 대한민국"
호텔 토스카나,07.25.Tue,305454,2,9.0,4,"서귀포, 대한민국"
오션스위츠 제주 호텔,07.25.Tue,86569,2,8.1,4,"제주, 대한민국"
아시아호텔,07.25.Tue,47106,2,8.4,5,"제주, 대한민국"
글로스터 호텔 제주,07.25.Tue,79850,2,8.3,3,"제주, 대한민국"
